Club,Greek name,Settlement,Regional unit,Region
Aspropyrgos Enosis,Ένωση Ασπρόπυργου,Aspropyrgos,West Attica,Attica
Diagoras Rhodes,Διαγόρας Ρόδου,Rhodes,Rhodes,South Aegean
Egaleo,Αιγάλεω,Egaleo,West Athens,Attica
Ialysos,Ιάλυσος,Ialysos,Rhodes,South Aegean
Ionikos Nikaia,Ιωνικός Νίκαιας,Nikaia,Piraeus,Attica
Kalamata,Καλαμάτα,Kalamata,Messenia,Peloponnese
Kavala,Καβάλα,Kavala,Kavala,East Macedonia and Thrace
Niki Volos,Νίκη Βόλου,Nea Ionia,Magnesia,Thessaly
OFI,Ο.Φ.Ι,Ierapetra,Lasithi,Crete
Olympiacos Volos,Ολυμπιακός Βόλου,Volos,Magnesia,Thessaly
Thesprotos,Θεσπρωτός,Igoumenitsa,Thesprotia,Epirus
Triglia,Τρίγλια,Triglia,Chalkidiki,Central Macedonia
Trikala,Τρίκαλα,Trikala,Trikala,Thessaly
Veria,Βέροια,Veria,Imathia,Central Macedonia
