Title,Originally aired,Description
A Day in the Life of Ranger Smith,2002,"Originally aired on Cartoon Network in 1999 , this was a homage to Yogi Bear / Ranger Smith and an original animation by Spumco"
The Animation Show,2005,"Animated shorts from The Animation Show 2003 . Featured Billy 's Balloon , Intermission , and Mike 's Pencil Test . Aired in November 2005"
Batman : Strange Days,2014,"Animated short created for Batman 's 75th anniversary . Originally broadcast on Cartoon Network as part of DC Nation . Aired May 10 , 2014 during a commercial break of a Beware the Batman episode"
Batman Beyond,2014,"Animated short created for Batman 's 75th anniversary . Originally broadcast on Cartoon Network as part of DC Nation . Aired August 2 , 2014 during a commercial break of a Beware the Batman episode . Not to be confused with the television series of the same name"
Boo Boo Runs Wild,2002,"Originally aired on Cartoon Network in 1999 , this was a homage to Yogi Bear/Ranger Smith and an original animation by Spümcø"
Kakurenbo : Hide and Seek,2005,"Japanese animated short centering around demonic themes . Aired October 31 , 2005"
Kick-Heart,2013,"Animated short by Production I.G . Aired August 31 , 2013 on Toonami . Aired for a third time as daylight saving time filler on November 2 , 2013"
Night of the Living Doo,2002,A Scooby-Doo short written by Casper Kelly and Jeff Olson . The short was originally a part of Cartoon Network 's The Scooby Project
Shelter : The Animation,2016,"Aired December 31 , 2016"
The Jetsons : Father and Son Day,2002,Flash animated short made by Spümcø based on The Jetsons
The Jetsons : The Best Son,2002,Flash animated short made by Spümcø based on The Jetsons
