Medal,Name,Games,Sport,Event
Gold,Ekaterina Karsten,1996 Atlanta,Rowing,Women 's single sculls
Silver,Vladimir Dubrovshchik,1996 Atlanta,Athletics,Men 's discus throw
Silver,Natallia Sazanovich,1996 Atlanta,Athletics,Women 's heptathlon
Silver,Igor Basinsky,1996 Atlanta,Shooting,Men 's 50 metre pistol
Silver,Aleksandr Pavlov,1996 Atlanta,Wrestling,Men 's Greco-Roman 48 kg
Silver,Sergey Lishtvan,1996 Atlanta,Wrestling,Men 's Greco-Roman 100 kg
Silver,Aleksey Medvedev,1996 Atlanta,Wrestling,Men 's freestyle 130 kg
Bronze,Vasiliy Kaptyukh,1996 Atlanta,Athletics,Men 's discus throw
Bronze,Ellina Zvereva,1996 Atlanta,Athletics,Women 's discus throw
Bronze,Vitaly Scherbo,1996 Atlanta,Gymnastics ( Artistic ),Individual all-around
Bronze,Vitaly Scherbo,1996 Atlanta,Gymnastics ( Artistic ),Men 's horizontal bar
Bronze,Vitaly Scherbo,1996 Atlanta,Gymnastics ( Artistic ),Men 's parallel bars
Bronze,Vitaly Scherbo,1996 Atlanta,Gymnastics ( Artistic ),Men 's vault
Bronze,Tamara Davydenko Nataliya Lavrinenko Yelena Mikulich Aleksandra Pankina Yaroslava Pavlovich Valentina Skrabatun Nataliya Stasyuk Nataliya Volchek Marina Znak,1996 Atlanta,Rowing,Women 's Eight
Bronze,Valery Tsilent,1996 Atlanta,Wrestling,Men 's Greco-Roman 82 kg
Gold,Ellina Zvereva,2000 Sydney,Athletics,Women 's discus throw
Gold,Yanina Korolchik,2000 Sydney,Athletics,Women 's shot put
Gold,Ekaterina Karsten,2000 Sydney,Rowing,Women 's single sculls
Silver,Yulia Raskina,2000 Sydney,Gymnastics ( Rhythmic ),Individual all-around
Silver,Tatyana Ananko Tatyana Belan Anna Glazkova Irina Ilyenkova Maria Lazuk Olga Puzhevich,2000 Sydney,Gymnastics ( Rhythmic ),Group all-around
