Name,Canton ( s ) /Country,From - To,Built/Opened,Elevation ( m ),Type
Albula Railway,Graubünden,Filisur - La Punt,1903,1823,railway tunnel
Bernina Railway,Graubünden,Samedan - Poschiavo,1906 - 1910,2253,railway
Bözberg,Aargau,Brugg - Frick,1874,,railway tunnel
Brünig,Bern / Nidwalden,Meiringen BE - Giswil NW,1888,1007,railway
Furka Heritage Railway,Uri / Valais,Realp UR - Gletsch,1914,2160,railway
Furka,Uri / Valais,Realp UR - Oberwald VS,1998,1550,railway tunnel
Col de la Givrine,Vaud,Nyon - La Cure,,1228,railway
Kerenzerberg,Glarus,Mollis - Mühlehorn,1960,,railway tunnel
Kleine Scheidegg,Berne,Lauterbrunnen - Grindelwald,1892,2061,railway
Lötschberg Tunnel,Bern / Valais,Kandersteg BE - Goppenstein VS,,1216,railway tunnel with car transport
Oberalp,Graubünden / Uri,Disentis GR - Andermatt UR,1926,2044,railway
Saanenmöser,Vaud / Bern,Montreux VD - Zweisimmen BE,1901 - 1912,1279,railway
Simplon,Valais / Italy,Brig VS - Domodossola IT,1892 - 1906,690,railway tunnel
St. Gotthard,Uri / Ticino,Göschenen UR - Airolo TI,1882,1141,railway tunnel
Vereina Tunnel,Graubünden,Klosters - Susch,1999,1430,railway tunnel with car transport
Vue des Alpes,Neuchâtel,Neuchâtel - La Chaux-de-Fonds,,1040,railway tunnel
Weissenstein,Solothurn,Oberdorf - Gänsbrunnen,1908,732,railway tunnel
Wolfgang,Graubünden,Klosters - Davos,,1631,railway
