Name,Type,Class,Dates
HMAS Gascoyne,Frigate,River,1946-1966
HMAS Gawler,Corvette,Bathurst,1942-1946
HMAS Gawler,Patrol boat,Fremantle,1983-2006
HMAS Gayundah,Gunboat,,1911-1921
HMAS Gayundah,Motor refrigeration lighter,MRL,1944-1981
HMAS Geelong,Corvette,Bathurst,1942-1944
HMAS Geelong,Patrol boat,Fremantle,1984-2006
HMAS Geraldton,Corvette,Bathurst,1942-1946
HMAS Geraldton,Patrol boat,Fremantle,1983-2006
HMAS Geranium,Corvette,Arabis,1919-1927
HMAS Gladstone,Corvette,Bathurst,1943-1956
HMAS Gladstone,Patrol boat,Fremantle,1984-2007
HMAS Glenelg,Corvette,Bathurst,1942-1957
HMAS Goolgwai,Auxiliary minesweeper,,
HMAS Goonambee,Auxiliary minesweeper,,
HMAS Goorangai,Auxiliary minesweeper,,1939-1940
HMAS Gordon,Torpedo boat,,1911-1914
HMAS Goulburn,Corvette,Bathurst,1941-1947
HMAS Grantala,Hospital ship,,1914
HMAS Gull,Minesweeper,Ton,1962-1976
