Season,Event type,Location,Format,Date,Rank
2009,Nationals,"Kansas City , Missouri",Standard and Booster Draft,"July 22-24 , 2009",4
2009,Grand Prix,Minneapolis,Sealed and Booster Draft,"November 14 , 2009",4
2010,Grand Prix,Washington D.C,Standard,"May 22-23 , 2010",1
2010,Pro Tour,"San Juan , Puerto Rico",Block Constructed and Booster Draft,"May 28-30 , 2010",6
2010,Grand Prix,Columbus,Legacy,"July 31-August 1 , 2010",8
2010,Nationals,Minneapolis,Standard and Booster Draft,"August 19-22 , 2010",8
2010,Pro Tour,Amsterdam,Extended and Booster Draft,"September 3-5 , 2010",2
2010,Grand Prix,Toronto,Sealed and Booster Draft,"October 23-24 , 2010",2
2012-13,Grand Prix,Minneapolis,Standard,"May 19-20 , 2012",2
2012-13,Grand Prix,Atlantic City,Standard,"January 12-13 , 2013",3
2013-14,Grand Prix,Miami,Standard,"June 29-30 , 2013",3
2013-14,Grand Prix,Louisville,Standard,"October 19-20 , 2013",6
2013-14,Grand Prix,Cincinnati,Standard,"March 22-23 , 2014",2
2014-15,Grand Prix,Los Angeles,Standard,"October 18-19 , 2014",6
2014-15,Grand Prix,Memphis,Standard,"February 21-22 , 2015",3
2014-15,Grand Prix,Toronto,Standard,"May 2-3 , 2015",4
2015-16,Pro Tour,Madrid,Standard and Booster Draft,"April 22-24 , 2016",6
2016-17,Grand Prix,Omaha,Standard,"June 2-4 , 2017",1
