Arena,Capacity,Opened,Location,Country
Sportpaleis,"23,359",1933,Antwerp,Belgium
Manchester Arena,"21,000",1995,Manchester,United Kingdom
AccorHotels Arena,"20,300",1984,Paris,France
Altice Arena,"20,100",1998,Lisbon,Portugal
The O 2 Arena,"20,000",2007,London,United Kingdom
Žalgiris Arena,"20,000",2011,Kaunas,Lithuania
Lanxess Arena,"19,500",1998,Cologne,Germany
O.A.C.A . Olympic Indoor Hall,"20,700",1995,Athens,Greece
O 2 Arena,"19,000",2004,Prague,Czech Republic
Štark Arena,"18,386",2004,Belgrade,Serbia
Pala Alpitour,"18,100",2005,Turin,Italy
Palais 12,"15,000",2013,Brussels,Belgium
PostFinance Arena,"17,100",1967,Bern,Switzerland
Palau Sant Jordi,"17,500",1990,Barcelona,Spain
Mercedes-Benz Arena Berlin,"17,400",2008,Berlin,Germany
Halle Tony Garnier,"15,000",1988,Lyon,France
Ziggo Dome,"17,200",2012,Amsterdam,Netherlands
Westfalenhallen,"16,500",1952,Dortmund,Germany
Rotterdam Ahoy,"16,426",1950,Rotterdam,Netherlands
Royal Arena,"16,100",2017,Copenhagen,Denmark
