Year,Title,Role,Notes
1993,Cadillac Girls,Will,
1994,Squanto : A Warrior 's Tale,Squanto,Patuxet
1994,A Boy Called Hate,Billy Little Plume,
1995,Dance Me Outside,Frank Fencepost,Ojibwe ( related to Beach 's actual Saulteaux heritage )
1996,Coyote Summer,Rafe Acuna,
1997,Song of Hiawatha,Chibiabos,Seneca
1998,Smoke Signals,Victor Joseph,Coeur d'Alene
1999,"Mystery , Alaska",Galin Winetka,
2000,The Last Stop,Jason,
2001,Joe Dirt,Kickin ' Wing,
2001,Now & Forever,John Myron,Cree
2001,The Art of Woo,Ben Crowchild,
2002,Windtalkers,Private Ben Yazzie,Navajo
2002,Skinwalkers,Officer Jim Chee,Navajo
2002,Posers,Sinclair,
2003,Cowboys and Indians : The J.J. Harper Story,John Joseph Harper,Oji-Cree
2003,The Big Empty,Randy,
2004,Sawtooth,Jim,
2005,Four Brothers,Chief,Uncredited
2006,Flags of Our Fathers,Ira Hayes,Pima
