Rank,Title,Studio,Gross,Language
1,Avengers : Endgame,Walt Disney Pictures,$ 19.56 mil,English
2,Captain Marvel,Walt Disney Pictures,$ 10.25 mil,English
3,Spider-Man : Far from Home,Sony Pictures,$ 9.45 mil,English
4,Frozen II,Walt Disney Pictures,$ 8.19 mil,English
5,Ip Man 4 : The Finale,Cathay Organisation,$ 6.74 mil,"English , Mandarin"
6,Jumanji : The Next Level,Sony Pictures,$ 6.68 mil,English
7,Joker,Warner Bros. Pictures,$ 6.48 mil,English
8,Aladdin,Walt Disney Pictures,$ 5.99 mil,English
9,Hobbs & Shaw,United International Pictures,$ 5.68 mil,English
10,The Lion King,Walt Disney Pictures,$ 5.41 mil,English
