Year,Winner,Position,School
1999-00,Jay Woodcroft,Center,Alabama-Huntsville
2000-01,Scott Bradley,Forward,Air Force
2001-02,Brian Gornick,Center,Air Force
2002-03,Jason Maxwell,Center,Findlay
2003-04,Mike Polidor,Goaltender,Air Force
2004-05,Andrew Murray,Center,Bemidji State
2005-06,Brooks Turnquist,Defenceman,Air Force
2006-07,Shaun Arvai,Defenceman,Alabama-Huntsville
2007-08,Joel Gasper,Center,Robert Morris
2008-09,Vince Rocco,Right Wing,Niagara
2009-10,Kyle Hardwick,Defenceman,Bemidji State
