Rank,Surname,Frequency,Meaning
1,Rossi,60.487,Red ( Northern and Central Italy )
2,Russo,42.877,Red ( Southern Italy )
3,Ferrari,33.707,Blacksmith
4,Esposito,31.980,Exposed ( abandoned child )
5,Bianchi,25.121,White
6,Romano,24.062,Roman
7,Colombo,23.484,Dove ( abandoned child )
8,Bruno,20.509,Brown
9,Ricci,19.879,Curly
10,Greco,18.225,Greek
11,Marino,17.939,"Marine , seaman"
12,Gallo,17.622,Rooster
13,De Luca,17.438,Son of luke
14,Conti,17.173,Count
15,Costa,16.875,Coast
16,Mancini,16.784,Left handed
17,Giordano,16.636,Jordan
18,Rizzo,16.394,Curly
19,Lombardi,15.220,Lombard
20,Barbieri,14.304,Barber
