Year,CAA Champions,Score,Runner-Up,Tournament MVP,Venue
1984,East Carolina,54-39,Richmond,N/A,"Minges Coliseum ( Greenville , North Carolina )"
1985,East Carolina,65-59,James Madison,N/A,"William & Mary Hall ( Williamsburg , Virginia )"
1986,James Madison,66-62,East Carolina,"Lisa Squirewell , ECU","Trask Coliseum ( Wilmington , North Carolina )"
1987,James Madison,74-62,American,"Sydney Beasley , JMU","JMU Convocation Center ( Harrisonburg , Virginia )"
1988,James Madison,87-72,George Mason,"Sydney Beasley , JMU","Bender Arena ( Washington , D.C . )"
1989,James Madison,55-45,Richmond,"Carolin Dehn-Duhr , JMU","William & Mary Hall ( Williamsburg , Virginia )"
1990,Richmond,47-46,James Madison,"Pam Bryant , UR","Robins Center ( Richmond , Virginia )"
1991,Richmond,88-70,East Carolina,"Ginny Norton , UR","JMU Convocation Center ( Harrisonburg , Virginia )"
1992,Old Dominion,80-75,East Carolina,"Pam Huntley , ODU","ODU Field House ( Norfolk , Virginia )"
1993,Old Dominion,65-51,William & Mary,"Pam Huntley , ODU","ODU Field House ( Norfolk , Virginia )"
1994,Old Dominion,78-61,George Mason,"Celeste Hill , ODU","JMU Convocation Center ( Harrisonburg , Virginia )"
1995,Old Dominion,63-44,James Madison,"Ticha Penicheiro , ODU","ODU Field House ( Norfolk , Virginia )"
1996,Old Dominion,84-58,James Madison,"Clarisse Machanguana , ODU","ODU Field House ( Norfolk , Virginia )"
1997,Old Dominion,83-46,East Carolina,"Clarisse Machanguana , ODU","Richmond Coliseum ( Richmond , Virginia )"
1998,Old Dominion,82-49,American,"Ticha Penicheiro , ODU","Richmond Coliseum ( Richmond , Virginia )"
1999,Old Dominion,73-67,East Carolina,"Natalie Diaz , ODU","Robins Center ( Richmond , Virginia )"
2000,Old Dominion,92-49,UNC Wilmington,"Natalie Diaz , ODU","ALLTEL Pavilion ( Richmond , Virginia )"
2001,Old Dominion,66-62,James Madison,"Monique Coker , ODU","ODU Field House ( Norfolk , Virginia )"
2002,Old Dominion,76-48,UNC Wilmington,"Okeisha Howard , ODU","ODU Field House ( Norfolk , Virginia )"
2003,Old Dominion,66-58,Delaware,"Shareese Grant , ODU","Ted Constant Convocation Center ( Norfolk , Virginia )"
