Team,Location,Stadium,Capacity
Chumphon,Chumphon,Institute of Physical Education Chumphon Campus Stadium,?
Hat Yai,Songkhla,Jiranakorn Stadium,"25,000"
Krabi,Krabi,Krabi Province Stadium Institute of Physical Education Krabi Campus Stadium,"3,590 ?"
Nakhon Si Thammarat,Nakhon Si Thammarat,Nakhon Si Thammarat Province Stadium,"4,744"
Nara United,Narathiwat,Narathiwat Province Stadium,?
Pattani,Pattani,Rainbow Stadium,"8,000"
Phang Nga,Phang Nga,Phang Nga Province Stadium,"3,000"
Phattalung,Phattalung,Phattalung Province Stadium,"4,021"
Ranong,Ranong,Ranong Province Stadium,"7,212"
Satun United,Satun,Satun Provincial Administrative Organization Stadium,"4,671"
Surat,Surat Thani,Surat Thani Province Stadium,"10,175"
Trang,Trang,Trang Municipality Stadium,"4,789"
Yala,Yala,Institute of Physical Education Yala Campus Stadium,?
