Year,Title,Role
1978,Ice Castles,Himself
1992,Mo ' Money,Club doorman
1993,Who 's the Man ?,G-George
1994,House Party 3,Uncle Vester
1994,Above the Rim,Flip
1995,The Walking Dead,Ray
1995,Friday,Pastor Clever
1996,Do n't Be a Menace to South Central While Drinking Your Juice in the Hood,Officer Self Hatred
1996,Get on the Bus,Jay
1996,Reasons,
1997,Booty Call,Judge Peabody
1997,B*A*P*S,Mr. Johnson
1997,Def Jam 's How to Be a Player,Buster
1997,Don King : Only in America,Bundini Brown
1998,The Players Club,Dollar Bill
1999,Life,Jangle Leg
2000,The Original Kings of Comedy,Himself
2001,What 's the Worst That Could Happen ?,Uncle Jack
2001,Ocean 's Eleven,Frank Catton
2003,Head of State,Mitch Gilliam
