Triples,Team,Season
131,Philadelphia Phillies,1894
130,Brooklyn Grooms,1894
129,Pittsburgh Pirates,1912
127,Pittsburgh Pirates,1893
124,Pittsburgh Pirates,1894
122,Pittsburgh Pirates,1924
121,Pittsburgh Pirates,1899
120,Cincinnati Reds,1890
120,Cincinnati Reds,1926
119,Pittsburgh Pirates,1930
116,Pittsburgh Pirates,1929
113,St. Louis Cardinals,1894
113,Boston Pilgrims,1903
111,Pittsburgh Pirates,1923
111,Cincinnati Reds,1924
110,Pittsburgh Pirates,1903
110,Pittsburgh Pirates,1922
110,New York Yankees,1930
