Medal,Name,Sport,Event
Gold,Luis Manuel Galano,Athletics,Men 's 400 metres T13
Gold,Leonardo Diaz,Athletics,Men 's discus throw F55-56
Gold,Yunidis Castillo,Athletics,Women 's 100 metres T46
Gold,Yunidis Castillo,Athletics,Women 's 200 metres T46
Gold,Isao Cruz,Judo,Men 's 81 kg
Silver,Freddy Durruthy,Athletics,Men 's 400 metres T13
Silver,Lazaro Raschid Aguilar,Athletics,Men 's 800 metres T12
Silver,Lazaro Raschid Aguilar,Athletics,Men 's 1500 metres T13
Bronze,Luis Felipe Gutierrez,Athletics,Men 's 100 metres T13
Bronze,Arian Iznaga,Athletics,Men 's 200 metres T11
Bronze,Ettiam Calderon,Athletics,Men 's 200 metres T46
Bronze,Gerdan Fonseca,Athletics,Men 's shot put F44
Bronze,Victor Sanchez,Judo,Men 's 66 kg
Bronze,Juan Carlos Cortada,Judo,Men 's 100 kg
