Caliber ( mm ),Weapon name,Country of origin,Design
106,Canon lourd de 8 Gribeauval,Kingdom of France,1775
114,4.5-inch siege rifle,United States,1862
121,Canon lourd de 12 Gribeauval,Kingdom of France,1775
134,Canon de 16 Gribeauval,Kingdom of France,1775
148,24-pdr M1839 rifle,United States,1839
153,Canon de 24 Gribeauval,Kingdom of France,1775
163,32-pdr M1829 rifle,United States,1829
178,42-pdr M1841 rifle,United States,1841
200,Kartouwe,Dutch Republic,16th century
230,Abus Gun,Ottoman Empire,16th century
650,Dardanelles Gun,Ottoman Empire,1464
660,Dulle Griet,Holy Roman Empire,First half of 15th century
735,Faule Mette,Holy Roman Empire,1411
820,Pumhart von Steyr,Austrian Empire,Early 15th century
890,Tsar Cannon,Tsardom of Russia,1586
