Round,Pick,Player,Position,School
1,23,Mark Koncar,Offensive tackle,Colorado
3,72,Mike McCoy,Cornerback,Colorado
4,101,Tom Perko,Linebacker,Pittsburgh
5,132,Aundra Thompson,Running back,East Texas State
8,218,Jim Burrow,Defensive back,Nebraska
9,245,Jim Gueno,Linebacker,Tulane
10,274,Jessie Green,Wide receiver,Tulsa
11,301,Curtis Leak,Wide receiver,Johnson C. Smith
12,328,Melvin Jackson,Guard,USC
13,355,Bradley Bowman,Defensive back,Southern Miss
14,386,John Henson,Running back,Cal Poly
15,413,Jerry Dandridge,Linebacker,Memphis State
16,440,Mike Timmermans,Guard,Northern Iowa
17,467,Ray Hall,Tight end,Cal Poly
