Institution,Location,Country
Agenla Academy,Yaounde,Cameroun
Botswana International University of Science and Technology,Palapye,Botswana
University of Pretoria,Pretoria,South Africa
"University Of Tripoli , Department of Mining Engineering",Tripoli,Libya
"Federal University of Technology , Department of Mining Engineering",Akure,Nigeria
"University of Zambia , School of Mines , Department of Geology , Mining Engineering and Metallurgy and Mineral Processing",Lusaka,Zambia
"Blue Nile University , Department of Mining Engineering , Elroseries",Sudan,
University of Badji Mokhtar - Annaba,Annaba,Algeria
"Copperbelt University , Mines and Mineral Sciences",Kitwe,Zambia
University of South Africa,Pretoria,South Africa
University of the Witwatersrand,Johannesburg,South Africa
University of Johannesburg,Johannesburg,South Africa
"Mining Department , Faculty of Petroleum & Mining Engineering , Suez University",Suez,Egypt
University of Mines and Technology,Tarkwa,Ghana
National High School of Mines and Metallurgy,Annaba,Algeria
"Department of Mining and Mineral processing Engineering , College of Earth Science , The University of Dodoma",Dodoma,Tanzania
"Department of Chemical and Mining Engineering , College of Engineering and Technology , University of Dar es Salaam",Dar es Salaam,Tanzania
Department of mining engineering,Omdurman Islamic University,Sudan
École Nationale Supérieure des Mines de Rabat ( Mines Rabat ),Rabat,Morocco
"Department of Mineral Engineering , Mohammadia School of Engineering",Rabat,Morocco
