Year,Title,Role,Notes
1962,The Jack Paar Tonight Show,Himself,1 episode
1969,The Mike Douglas Show,Himself,1 episode
1972,The Dick Cavett Show,Himself,1 episode
1972,The New Bill Cosby Show,Himself,1 episode
1975,The Merv Griffin Show,Himself,1 episode
1979,The Mike Douglas Show,Himself,1 episode
1991,Separate but Equal,Thurgood Marshall,Nominated - Primetime Emmy Award for Outstanding Lead Actor - Miniseries or a Movie Nominated - Golden Globe Award for Best Actor - Miniseries or Television Film
1995,Children of the Dust,Gypsy Smith,"Nominated - NAACP Image Award for Outstanding Actor in a Television Movie , Mini-Series or Dramatic Special"
1996,"To Sir , with Love II",Mark Thackeray,
1997,Mandela and de Klerk,Nelson Mandela,"Nominated - CableACE Award for Best Actor in a Movie or Miniseries Nominated - NAACP Image Award for Outstanding Actor in a Television Movie , Mini-Series or Dramatic Special Nominated - Primetime Emmy Award for Outstanding Lead Actor - Miniseries or a Movie Nominated - Satellite Award for Best Actor - Miniseries or Television Film Nominated - Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Miniseries or Television Movie"
1998,David and Lisa,Dr. Jack Miller,
1999,The Simple Life of Noah Dearborn,Noah Dearborn,"NAACP Image Award for Outstanding Actor in a Television Movie , Mini-Series or Dramatic Special Nominated - Black Reel Award for Best Actor : T.V . Movie/Cable"
1999,Free of Eden,Will Cleamons,
2000-2007,The Oprah Winfrey Show,Himself,5 episodes
2001,The Last Brickmaker in America,Henry Cobb,
2008,Larry King Live,Himself,1 episode
