Team,Finishing pos . in last season,First season of current spell in top division,Top division titles
EH Aalborg,12 th,2018-19,0
Aarhus United,6 th,2017-18,0
Ajax København,12 th,2017-18,0
Herning-Ikast Håndbold,,1991-92,5
København Håndbold,4 th,2013-14,1
Nykøbing F. Håndbold,5 th,2013-14,1
Odense Håndbold,,2009-10,0
Randers HK,10 th,2000-01,1
Skanderborg Håndbold,13 th,2018-19,0
Silkeborg-Voel KFUM,9 th,2013-14,0
Team Esbjerg,,2007-08,2
TTH Holstebro,8 th,2008-09,0
Viborg HK,7 th,1988-89,10
Horsens HK,1 st in ( 1st division ),2019-20,0
