Club,League,Sport,Venue,Founded,Titles
Bayou Warriors,UBA,Basketball,,2012,0
Houston Aces,UWS,Women 's soccer,Houston Baptist University,2012,1 ( 2018 )
Houston Bounty Hunters,NDL,Dodgeball,,2009,0
Houston Dutch Lions,NPSL,Soccer,Woodforest Bank Stadium,2011,0
Houston Energy,IWFL,Women 's football,The Rig,2000,"4 ( 2000 , 2001 , 2002 , 2018 )"
Houston FC,PDL,Soccer,San Jacinto College,2017,0
Houston Guardians,DCI,Drum and Bugle Corps,,2012,0
Houston Hornets,USARL,Rugby league,,2011,0
Houston Hotshots,PASL,Indoor soccer,Northwest Indoor Sports,2015,0
Houston Hurricanes FC,TPSL,Soccer,Lutheran South Academy,2012,0
Houston Inferno,BBA,Women 's basketball,Delmar Fieldhouse,2013,0
Houston Lady Oilers,WAFL,Women 's American football,,2012,0
Houston Lonestars,USAFL,Australian rules football,,2005,0
Houston Mud Turtles,USAU,Ultimate Frisbee,,2016,0
Houston Outlaws,OWL,Overwatch,Blizzard Arena,2017,0
Houston Power,WFA,Women 's football,Guy K. Traylor Stadium,2010,0
Houston Roller Derby,WFTDA,Roller derby,Bayou Music Center,2005,0
Houston Roughnecks,XFL,American football,TDECU Stadium,2018,0
Houston SaberCats,MLR,Rugby,Aveva Stadium,2018,0
Houston South Select,WPSL,Women 's soccer,San Jacinto College,2007,0
