Team,Arena,Home Games,Average Attendance,Total Attendance,Capacity Percentage
Chicago Blackhawks,United Center,40,"21,399","855,972",108.5%
Montreal Canadiens,Bell Centre,41,"21,046","862,914",98.9%
Philadelphia Flyers,Wells Fargo Center,40,"19,141","765,622",99.14%
Toronto Maple Leafs,Scotiabank Arena,41,"19,276","790,316",102.4%
Detroit Red Wings,Little Caesars Arena,41,"19,120","783,958",98.0%
Tampa Bay Lightning,Amalie Arena,41,"19,092","782,772",100.0%
Minnesota Wild,Xcel Energy Center,41,"18,907","775,216",105.3%
Pittsburgh Penguins,PPG Paints Arena,41,"18,565","761,203",101.0%
Washington Capitals,Capital One Arena,41,"18,508","758,845",100.0%
Calgary Flames,Scotiabank Saddledome,41,"18,501","758,550",95.9%
Edmonton Oilers,Rogers Place,41,"18,347","752,227",98.4%
Vegas Golden Knights,T-Mobile Arena,41,"18,318","751,067",105.5%
Dallas Stars,American Airlines Center,41,"18,178","745,314",98.1%
Vancouver Canucks,Rogers Arena,41,"18,022","738,918",95.3%
Los Angeles Kings,Staples Center,41,"18,000","738,029",98.7%
Buffalo Sabres,KeyBank Center,41,"17,908","734,238",93.9%
Boston Bruins,TD Garden,41,"17,565","720,165",100.0%
Nashville Predators,Bridgestone Arena,41,"17,445","715,276",101.9%
St. Louis Blues,Enterprise Center,41,"17,361","711,823",90.7%
New York Rangers,Madison Square Garden,41,"17,318","710,074",96.2%
