Type,Origin,Description
Airco DH.9,UK,bomber
Arado Ar 66 C,Germany,trainer
Arado Ar 196 A-3,Germany,reconnaissance ( Unconfirmed )
Avia BH-25 J,Czechoslovakia,transport
Bloch MB.210 BN.5,France,bomber
Bristol Blenheim Mk.I,UK,bomber
CANT Z.501,Italy,reconnaissance flying boat
de Havilland Dragonfly,UK,transport
de Havilland Dragon Rapide,UK,transport
Dewoitine D.27,France,fighter
Fieseler Fi 156 C-2,Germany,reconnaissance
Fleet 10,Canada,trainer
Focke-Wulf Fw 44 C,Germany,trainer
Focke-Wulf Fw 58 C,Germany,transport
Focke-Wulf Fw 189 A-1/2,Germany,reconnaissance
Focke-Wulf Fw 190 A-8/F-8,Germany,fighter
Fokker D.VII,Netherlands,fighter
Fokker D.XI,Netherlands,fighter
Fokker D.XVI,Netherlands,fighter
Gotha Go 242 A-1,Germany,transport glider
