#,Name,Fee,Paid by,Date
1,Gary Medel,£10m,Inter Milan,9 August 2014
2,Steven Caulker,£8.5m,Queens Park Rangers,22 July 2014
3,Jordon Mutch,£6m,Queens Park Rangers,5 August 2014
4,Michael Chopra,£5m,Sunderland,13 July 2007
5,Roger Johnson,£5m,Birmingham City,25 June 2009
6,Aaron Ramsey,£4.8m,Arsenal,13 June 2008
7,Robert Earnshaw,£4m,West Bromwich Albion,30 August 2004
8,Cameron Jerome,£4m,Birmingham City,31 May 2006
9,Andreas Cornelius,£3m,Copenhagen,31 January 2014
10,Glenn Loovens,£2.5m,Celtic,16 August 2008
