Sport,League,Tier,Club,City,Stadium
Football,Chinese Super League,1st,Guangzhou Evergrande Taobao F.C,Guangzhou,Tianhe Stadium
Football,Chinese Super League,1st,Guangzhou R & F F.C,Guangzhou,Yuexiushan Stadium
Football,Hong Kong Premier League,1st,R & F,Guangzhou,Yanzigang Stadium
Football,China League One,2nd,Shenzhen F.C,Shenzhen,Shenzhen Stadium
Football,China League One,2nd,Meizhou Hakka F.C,Wuhua,Wuhua County Stadium
Football,China League One,2nd,Meizhou Meixian Techand F.C,Meizhou,Meixian Tsang Hin-chi Stadium
Football,China League Two,3rd,Shenzhen Ledman F.C,Shenzhen,Bao'an Stadium
Football,China League Two,3rd,Shenzhen Pengcheng F.C,Shenzhen,Xixiang Sports Center
Football,China Women 's League One,2nd,Meizhou Hunjun,Wuhua,Wuhua County Stadium
Futsal,China Futsal Super League,1st,Shenzhen Nanling Tielang,Shenzhen,Qiushanshui Park Sports Centre
Futsal,China Futsal Super League,1st,Yingde Yanjiyou,Yingde,Yingde Gymnasium
Futsal,China Futsal Super League,1st,Zhuhai Mingshi,Zhuhai,Zhuhai Sports Centre
Basketball,Chinese Basketball Association,1st,Guangdong Southern Tigers,Dongguan,Nissan Sports Centre
Basketball,Chinese Basketball Association,1st,Shenzhen Leopards,Shenzhen,Shenzhen Universiade Sports Centre
Basketball,Chinese Basketball Association,1st,Guangzhou Long-Lions,Guangzhou,Tianhe Gymnasium
Basketball,ASEAN Basketball League,1st,Zhuhai Wolf Warriors,Zhuhai,Jinan University ( Zhuhai Campus )
Basketball,Women 's Basketball Association,1st,Guangdong Asia Aluminum,Zhaoqing,Zhaoqing Stadium
Volleyball,Men 's Volleyball League Div A,1st,Guangdong GSports,Shenzhen,Shenzhen Gymnasium
Volleyball,Women 's Volleyball League Div A,1st,Guangdong Evergrande,Shenzhen,Shenzhen Gymnasium
Volleyball,Women 's Volleyball League Div B,2nd,Guangdong Jianlong,Taishan,Taishan Stadium
