Year,Film,Director,Country
1987,Birdy,Alan Parker,United States
1988,Koyaanisqatsi,Godfrey Reggio,United States
1989,Drowning By Numbers,Peter Greenaway,United Kingdom
1990,Dead Poets Society,Peter Weir ≈,United States
1991,The Double Life of Véronique,Krzysztof Kieślowski,Poland / France
1992,Prospero 's Books,Peter Greenaway,United Kingdom
1993,Coffee and Cigarettes III,Jim Jarmusch,United States
1994,Arizona Dream,Emir Kusturica,United States
1995,Before the Rain,Milcho Manchevski ≈,North Macedonia
1996,Trainspotting,Danny Boyle ≈,United Kingdom
1997,The Full Monty,Peter Cattaneo ≈,United Kingdom
1998,Life Is Beautiful,Roberto Benigni ≠,Italy
1999,Children of Heaven,Majid Majidi,Iran
2000,Loners,David Ondříček,Czech Republic
2001,Italian for Beginners,Lone Scherfig,Denmark
2002,Elling,Petter Næss,Norway
2003,Buddy,Morten Tyldum,Norway
2004,Kontroll,Nimród Antal,Hungary
2005,Adam 's Apples,Anders Thomas Jensen,Denmark
2006,The Lives of Others,Florian Henckel von Donnersmarck ≠,Germany
