Sending country,Presentation of the credentials,Location of resident embassy,Ambassador
Algeria,26.01.2009,"Belgrade , Serbia",Abdelkader Mesdoua
Argentina,09.11.2007,"Budapest , Hungary",Domingo Santiago Cullen
Australia,06.10.2010,"Belgrade , Serbia",Helena Gay Studdert
Azerbaijan,06.10.2010,"Bucharest , Romania",Eldar Humbat oglu Hasanov
Belgium,14.04.2011,"Belgrade , Serbia",Alain Kundycki
Brazil,14.06.2011,"Belgrade , Serbia",Alexandre Addor Neto
Canada,06.10.2011,"Belgrade , Serbia",Roman Waschuk
Cuba,26.01.2010,"Belgrade , Serbia",Mercedes Martinez Valdes
Cyprus,21.09.2012,"Belgrade , Serbia",Nafsika Chr . Krousti
Czech Republic,16.05.2008,"Belgrade , Serbia",Hana Hubáčková
Denmark,19.09.2007,"Belgrade , Serbia",Mette Kjuel Nielsen
Ecuador,21.09.2012,"Rome , Italy",Carlos Danilo Vallejo Lopez
Egypt,06.10.2011,"Prague , Czech Republic",Mohamed Abdel Hakam
Estonia,21.12.2012,"Tel Aviv , Israel",Arti Hilpus
Finland,18.11.2011,"Belgrade , Serbia",Pekka Orpana
Georgia,06.10.2011,"Budapest , Hungary",Zviad Chuburidze
Holy See,17.12.2012,"Sarajevo , Bosnia and Hercegovina",Luigi Pezzuto
Iceland,16.11.2010,"Berlin , Germany",Gunnar Snorri Gunnarsson
India,30.08.2010,"Vienna , Austria",Ramachandran Swaminathan
Indonesia,25.03.2011,"Budapest , Hungary",Maruli Tua Sagala
