Year,Winner,Score,Opponent,MVP,Venue
1984,UTEP,62-55,New Mexico,"Juden Smith , UTEP","Special Events Center ( El Paso , Texas )"
1985,San Diego State,87-81,UTEP,"Luster Goodwin , UTEP","Special Events Center ( El Paso , Texas )"
1986,UTEP,65-64,Wyoming,"Eric Leckner , Wyoming","Arena-Auditorium ( Laramie , Wyoming )"
1987,Wyoming,64-62,New Mexico,"Eric Leckner , Wyoming","The Pit ( Albuquerque , New Mexico )"
1988,Wyoming,79-75,UTEP,"Eric Leckner , Wyoming","Marriott Center ( Provo , Utah )"
1989,UTEP,73-60,Colorado State,"Tim Hardaway , UTEP","Jon M. Huntsman Center ( Salt Lake City , Utah )"
1990,UTEP,75-58,Hawaii,"Greg Foster , UTEP","Special Events Center ( El Paso , Texas )"
1991,BYU,51-49,Utah,"Shawn Bradley , BYU","Arena-Auditorium ( Laramie , Wyoming )"
1992,BYU,73-71,UTEP,"Eddie Rivera , UTEP","Moby Arena ( Fort Collins , Colorado )"
1993,New Mexico,76-65,UTEP,"Ike Williams , New Mexico",Delta Center ( Salt Lake City )
1994,Hawaii,73-66,BYU,"Trevor Ruffin , Hawaii",Delta Center ( Salt Lake City )
1995,Utah,67-54,Hawaii,"Keith Van Horn , Utah","The Pit ( Albuquerque , New Mexico )"
1996,New Mexico,64-60,Utah,"Kenny Thomas , New Mexico","The Pit ( Albuquerque , New Mexico )"
1997,Utah,89-68,TCU,"Keith Van Horn , Utah","Thomas & Mack Center ( Paradise , Nevada )"
1998,UNLV,56-51,New Mexico,"Kenny Thomas , New Mexico","Thomas & Mack Center ( Paradise , Nevada )"
1999,Utah,60-45,New Mexico,"Alex Jensen , Utah","Thomas & Mack Center ( Paradise , Nevada )"
2000,Fresno State,75-72,Tulsa,"Courtney Alexander , Fresno State","Selland Arena ( Fresno , California )"
2001,Hawaii,78-72,Tulsa,"Carl English , Hawaii","Reynolds Center ( Tulsa , Oklahoma )"
2002,Hawaii,73-59,Tulsa,"Predrag Savović , Hawaii","Reynolds Center ( Tulsa , Oklahoma )"
2003,Tulsa,75-64,Nevada,"Kevin Johnson , Tulsa","Reynolds Center ( Tulsa , Oklahoma )"
