Year,Champion,Runner-Up
2018,Santa Barbara Foresters,NJCAA National Team
2017,Kansas Stars,Everett Merchants
2016,Santa Barbara Foresters,Hays Larks
2015,Seattle Studs,Haysville Aviators
2014,Santa Barbara Foresters,Seattle Studs
2013,Seattle Studs,Wellington Heat
2012,Santa Barbara Foresters,Seattle Studs
2011,Santa Barbara Foresters,Peninsula Oilers
2010,Liberal Bee Jays,Seattle Studs
2009,El Dorado Broncos,Anchorage Glacier Pilots
2008,Santa Barbara Foresters,Seattle Studs
2007,Lake Havasu City Heat,Hays Larks
2006,Santa Barbara Foresters,"Derby , Kansas Twins"
2005,Prairie Gravel ( IL ),Santa Barbara Foresters
2004,Aloha Knights ( OR ),"Matsu , Alaska Miners"
2003,Chinese Taipei,Santa Barbara Foresters
2002,"Fairbanks , Alaska Goldpanners","Anchorage , Alaska Glacier Pilots"
2001,"Anchorage , Alaska Glacier Pilots","Hays , Kansas Larks"
2000,"Liberal , Kansas BeeJays","Hays , Kansas Larks"
1999,"Dallas , Texas Phillies",Peninsula Oilers
