Season,Winner,Runner-up,Third place,Top scorer ( Club - Goals )
2006-07,Dinamo București ( 18 ),Steaua București,CFR Cluj,Claudiu Niculescu ( Dinamo București - 18 )
2007-08,CFR Cluj ( 1 ),Steaua București,Rapid București,Ionel Dănciulescu ( Dinamo București - 21 )
2008-09,Unirea Urziceni ( 1 ),FC Timișoara,Dinamo București,Gheorghe Bucur ( FC Timișoara - 17 ) Florin Costea ( FC U Craiova - 17 )
2009-10,CFR Cluj ( 2 ),Unirea Urziceni,FC Vaslui,Andrei Cristea ( Dinamo București - 16 )
2010-11,Oțelul Galați ( 1 ),FC Timișoara,FC Vaslui,Ianis Zicu ( FC Timișoara - 18 )
2011-12,CFR Cluj ( 3 ),FC Vaslui,Steaua București,Wesley ( FC Vaslui - 27 )
2012-13,Steaua București ( 24 ),Pandurii Târgu Jiu,Petrolul Ploiești,Raul Rusescu ( Steaua București - 21 )
2013-14,Steaua București ( 25 ),Astra Giurgiu,Petrolul Ploiești,Liviu Antal ( FC Vaslui - 14 )
2014-15,Steaua București ( 26 ),ASA 2013 Târgu Mureș,CFR Cluj,Grégory Tadé ( CFR Cluj - 18 )
2015-16,Astra Giurgiu ( 1 ),Steaua București,Pandurii Târgu Jiu,Ioan Hora ( Pandurii Târgu Jiu - 19 )
2016-17,Viitorul Constanța ( 1 ),Steaua București,Dinamo București,Azdren Llullaku ( Gaz Metan Mediaș - 16 )
2017-18,CFR Cluj ( 4 ),Steaua București,Universitatea Craiova,"George Țucudean ( Viitorul Constanța , CFR Cluj - 15 ) Harlem Gnohéré ( FCSB - 15 )"
2018-19,CFR Cluj ( 5 ),Steaua București,Viitorul Constanța,George Țucudean ( CFR Cluj - 18 )
