Call letters,Channel,Network ( s ),City and state,Meaning or notes
KGAN,29 PSIP 2,2.1 CBS,"Cedar Rapids , Iowa",Guy Gan nett Communications ( former owner )
KGBT-TV,31 PSIP/cable 4,CBS,"Harlingen , Texas",
KGBY,7 PSIP 20,COZI TV,"Grand Junction , Colorado",
KGCW,41 PSIP 26,26.1 The CW 41.2 This TV 41.3 MeTV,"Burlington , Iowa",G rant ( station owner ) CW
KGEB,12 PSIP 53,GEB,"Tulsa , Oklahoma",
KGET-TV,25 PSIP 17,17.1 NBC 25.2 The CW 17.3 KKEY-LP,"Bakersfield , California",K ern G olden E mpire T elevision
KGFE,15 PSIP 2,PBS,"Grand Forks , North Dakota",G rand F orks E ducational
KGIN,11 PSIP 11,11.1 CBS 11.2 NBC,"Grand Island , Nebraska",Rebroadcasts KOLN Lincoln ( DT1 ) and KSNB ( DT2 ) Superior
KGLA-DT,42 PSIP 42,Telemundo,"Hammond , Louisiana",
KGMB,23 Cable/PSIP 5,CBS,"Honolulu , Hawaii",G eorge M . B owls ( first chief engineer )
KGMC,27 PSIP 43,MundoFox,"Clovis , California",K G ary M . C ocola Broadcasting ( owner )
KGMD-TV,9 PSIP 9,CBS,"Hilo , Hawaii",
KGMV,24 PSIP 3,CBS,"Wailuku , Hawaii",
KGNS-TV,8 PSIP 8,8.1 NBC 8.2 ABC,"Laredo , Texas","G ood N eighbor S tation . Digital subchannel 8.2 branded as NGNS and by its cable/satellite channel number , 12"
KGO-TV,7 PSIP 7,7.1 ABC 7.2 Channel 7.2 ( LWN ),"San Francisco , California",
KGPE,34 PSIP 47,CBS,"Fresno , California","G row , P rotect , E njoy ( mission statement established by new owner ; historically bore KJEO )"
KGPX-TV,34 PSIP 34,ION Television,"Spokane , Washington",
KGTF,12 PSIP 12,12.1 PBS,"Agana , Guam",
KGTV,10 PSIP 10,10.1 ABC 41.15 KZSD-LP,"San Diego , California",Call signs were previously K O G O- TV
KGUN-TV,9 PSIP 9,ABC,"Tucson , Arizona",Pronounced K- GUN ; a nod to the region 's significance in Western lore and film industry
