Season,Winner,Runner-up,Third
1993,Jürgen Beneke,John Tomac,Stefano Migliorini
1994,François Gachet,Jürgen Beneke,Nicolas Vouilloz
1995,Nicolas Vouilloz,Mike King,Myles Rockwell
1996,Nicolas Vouilloz,Marcus Klausmann,Thomas Misser
1997,Corrado Herin,Jürgen Beneke,Thomas Misser
1998,Nicolas Vouilloz,David Vazquez Lopez,Cédric Gracia
1999,Nicolas Vouilloz,Steve Peat,Gerwin Peters
2000,Nicolas Vouilloz,Steve Peat,David Vazquez Lopez
2001,Greg Minnaar,Nicolas Vouilloz,Mickael Pascal
2002,Steve Peat,Cédric Gracia,Chris Kovarik
2003,Nathan Rennie,Cédric Gracia,Mickael Pascal
2004,Steve Peat,Sam Hill,Nathan Rennie
2005,Greg Minnaar,Sam Hill,Nathan Rennie
2006,Steve Peat,Sam Hill,Greg Minnaar
2007,Sam Hill,Matti Lehikoinen,Steve Peat
2008,Greg Minnaar,Sam Hill,Gee Atherton
2009,Sam Hill,Greg Minnaar,Steve Peat
2010,Gee Atherton,Greg Minnaar,Aaron Gwin
2011,Aaron Gwin,Greg Minnaar,Gee Atherton
2012,Aaron Gwin,Greg Minnaar,Gee Atherton
