Game,Publisher,Release Date,Platform,MC score,GR score
Resident Evil 4,Capcom,"October 25 , 2005",PlayStation 2,96/100,95.85%
Resident Evil 4,Capcom,"January 11 , 2005",GameCube,96/100,95.83%
Ninja Gaiden Black,Tecmo,"September 20 , 2005",Xbox,94/100,94.76%
Tom Clancy 's Splinter Cell : Chaos Theory,Ubisoft,"March 28 , 2005",Xbox,94/100,94.02%
God of War,Sony Computer Entertainment,"March 22 , 2005",PlayStation 2,94/100,93.58%
Civilization IV,2K Games,"October 25 , 2005",Microsoft Windows,94/100,93.36%
Metal Gear Solid 3 : Subsistence,Konami,"December 22 , 2005",PlayStation 2,94/100,92.97%
Forza Motorsport,Microsoft Game Studios,"May 3 , 2005",Xbox,92/100,93.05%
Grand Theft Auto : San Andreas,Rockstar Games,"June 7 , 2005",Xbox,93/100,92.29%
Grand Theft Auto : San Andreas,Rockstar Games,"June 7 , 2005",Microsoft Windows,93/100,91.94%
Tom Clancy 's Splinter Cell : Chaos Theory,Ubisoft,"March 28 , 2005",Microsoft Windows,92/100,91.44%
Guitar Hero,RedOctane,"November 7 , 2005",PlayStation 2,91/100,91.96%
Shadow of the Colossus,Sony Computer Entertainment,"October 18 , 2005",PlayStation 2,91/100,91.43%
Mario Kart DS,Nintendo,"November 14 , 2005",Nintendo DS,91/100,91.43%
Battlefield 2,Electronic Arts,"June 21 , 2005",Microsoft Windows,91/100,90.07%
Castlevania : Dawn of Sorrow,Konami,"August 25 , 2005",Nintendo DS,89/100,90.35%
Burnout Revenge,Electronic Arts,"September 13 , 2005",PlayStation 2,90/100,90.3%
Advance Wars : Dual Strike,Nintendo,"June 23 , 2005",Nintendo DS,90/100,90.28%
Pro Evolution Soccer 5,Konami,"August 4 , 2005",Microsoft Windows,89/100,90.25%
Psychonauts,Majesco Entertainment,"April 19 , 2005",Xbox,88/100,90.21%
