Date,Tournament,Location,Winner,OWGR points
Feb 8,Panama Digicel Championship,Panama,Vance Veazey ( 4 ),14
Mar 1,Moonah Classic,Australia,Alistair Presnell ( 1 ),16
Mar 8,HSBC New Zealand PGA Championship,New Zealand,Steven Alker ( 2 ),16
Mar 15,Michael Hill New Zealand Open,New Zealand,Alex Prugh ( 1 ),16
Mar 29,Chitimacha Louisiana Open,Louisiana,Bubba Dickerson ( 1 ),14
Apr 5,Stonebrae Classic,California,Michael Sim ( 2 ),14
Apr 19,Athens Regional Foundation Classic,Georgia,Patrick Sheehan ( 2 ),14
Apr 26,South Georgia Classic,Georgia,Garth Mulroy ( 1 ),14
May 17,BMW Charity Pro-Am,South Carolina North Carolina,Michael Sim ( 3 ),14
May 31,Rex Hospital Open,North Carolina,Kevin Johnson ( 5 ),14
Jun 7,Melwood Prince George 's County Open,Maryland,Mathias Grönberg ( 1 ),14
Jun 14,Knoxville Open,Tennessee,Kevin Johnson ( 6 ),14
Jun 21,Fort Smith Classic,Arkansas,Jason Enloe ( 2 ),14
Jun 28,Nationwide Tour Players Cup,West Virginia,Tom Gillis ( 1 ),14
Jul 12,Ford Wayne Gretzky Classic,Canada,Roger Tambellini ( 3 ),14
Jul 26,Cox Classic,Nebraska,Rich Barcelo ( 1 ),14
Aug 2,Nationwide Children 's Hospital Invitational,Ohio,Derek Lamely ( 1 ),14
Aug 9,Preferred Health Systems Wichita Open,Kansas,Chris Tidland ( 2 ),14
Aug 16,Price Cutter Charity Championship,Missouri,Justin Bolli ( 3 ),14
Aug 23,Christmas in October Classic,Kansas,Michael Sim ( 4 ),14
