Title,Publisher,Release Date,CERO
Columns,Sega,"December 2 , 2006",A
Ecco the Dolphin,Sega,"December 2 , 2006",A
Golden Axe,Sega,"December 2 , 2006",A
Gunstar Heroes,Sega,"December 2 , 2006",A
Jūōki,Sega,"December 2 , 2006",A
Puyo Puyo,Sega,"December 2 , 2006",A
Ristar the Shooting Star,Sega,"December 2 , 2006",A
Shadow Dancer : The Secret of Shinobi,Sega,"December 2 , 2006",A
"Sonic the Hedgehog ( not available from March 30 , 2012 to October 15 , 2013 ; delisted again on October 30 , 2015 )",Sega,"December 2 , 2006",A
Space Harrier II,Sega,"December 2 , 2006",A
ToeJam & Earl,Sega,"December 2 , 2006",A
Bonanza Bros,Sega,"January 30 , 2007",A
Comix Zone,Sega,"January 30 , 2007",A
Crying,Sega,"January 30 , 2007",A
Gain Ground,Sega,"January 30 , 2007",A
Bare Knuckle : Ikari no Tekken,Sega,"February 27 , 2007",B
The Story of Thor : Hikari o Tsugu Mono,Sega,"February 27 , 2007",A
Vectorman,Sega,"February 27 , 2007",A
Vermilion,Sega,"February 27 , 2007",A
Puzzle & Action : Tanto-R,Sega,"March 6 , 2007",A
