Drug name,Common trade names,Year approved .mw-parser-output .nobold { font-weight : normal } ( US FDA ),Time to peak onset of action ( hours ),Elimination half-life of active metabolite ( hours ),Therapeutic use
Adinazolam,Deracyn,Research chemical,1-2,3,"anxiolytic , antidepressant"
Alprazolam,"Xanax , Helex , Xanor , Trankimazin , Onax , Alprox , Misar , Restyl , Solanax , Tafil , Neurol , Frontin , Kalma , Ksalol",1981,1-2,10-20,"anxiolytic , antidepressant"
Bentazepam,Thiadipona,,1-3,2-4,anxiolytic
Bretazenil,,,,2.5,"anxiolytic , anticonvulsant"
Bromazepam,"Lectopam , Lexaurin , Lexatin , Lexotanil , Lexotan , Bromam",1981,1-3,20-40,"anxiolytic , hypnotic"
Bromazolam,,Research chemical,,,anxiolytic
Brotizolam,"Lendormin , Dormex , Sintonal , Noctilan",,0.5-2,4-5,hypnotic
Camazepam,"Albego , Limpidon , Paxor",,0.5-2,6-29,anxiolytic
Chlordiazepoxide,"Librium , Risolid , Elenium",1960,1.5-4,5-200,anxiolytic
Cinazepam,Levana,,2-4,60,"hypnotic , anxiolytic"
Cinolazepam,Gerodorm,,0.5-2,9,hypnotic
Clobazam,"Onfi , Frisium , Urbanol",2011,1-3,8-60,"anxiolytic , anticonvulsant"
Clonazepam,"Rivatril , Rivotril , Klonopin , Iktorivil , Paxam",1975,1-4,19.5-50,"anticonvulsant , anxiolytic , muscle relaxant"
Clonazolam,,Research chemical,0.5-1.5,10-18,"anxiolytic , anticonvulsant , hypnotic , muscle relaxant"
Clorazepate,"Tranxene , Tranxilium",1972,Variable,32-152,"anxiolytic , anticonvulsant"
Clotiazepam,"Veratran , Clozan , Rize",,1-3,4,anxiolytic
Cloxazolam,"Sepazon , Olcadil",,2-5,80-105,"anxiolytic , anticonvulsant"
Delorazepam,Dadumir,,1-2,80-105,"anxiolytic , amnesic"
Deschloroetizolam [ d ] [ lower-alpha 4 ],,Research chemical,,,anxiolytic
Diazepam,"Antenex , Apaurin , Apzepam , Apozepam , Diazepan , Hexalid , Normabel , Pax , Stesolid , Stedon , Tranquirit , Valium , Vival , Valaxona",1963,1-1.5,32-205,"anxiolytic , anticonvulsant , muscle relaxant , amnesic"
