Year,Champion,Score,Runner-up
2002,Elmira,2-1,Manhattanville
2003,Elmira,5-1,Manhattanville
2004,Middlebury,2-1,Wisconsin-Stevens Point
2005,Middlebury,4-3,Elmira
2006,Middlebury,3-1,Plattsburgh State
2007,Plattsburgh State,2-1,Middlebury
2008,Plattsburgh State,3-2,Manhattanville
2009,Amherst,4-3 ( OT ),Elmira
2010,Amherst,7-2,Norwich
2011,Norwich,5-2,RIT
2012,RIT,4-1,Norwich
2013,Elmira,1-0,Middlebury
2014,Plattsburgh State,9-2,Norwich
2015,Plattsburgh State,3-2,Elmira
2016,Plattsburgh State,5-1,Wisconsin-River Falls
2017,Plattsburgh State,4-3 ( OT ),Adrian College
2018,Norwich,2-1,Elmira
2019,Plattsburgh State,4-0,Hamlin
