Name,Date,Remarks,Location
Matsumae Kagura ( 松前神楽 ),Various times,"Originally performed at Matsumae Castle , chief residence of the Matsumae clan , the dance subsequently spread to other parts of Hokkaido where it picked up regional straits","various parts of southeastern Hokkaido : Matsumae District , Hakodate , Otaru , Fukushima"
"Noh Dance of Shimokita ( 下北の能舞 , shimokita no nōmai )",From third day of New Year,"Theatrical yamabushi kagura consisting of ritual dances , military dances of battles between humans and demons and a lion dance . This is preceded by a group of local youths moving from house to house carrying a lion 's head representing gongen","Shimokita District , Aomori"
"Unotori Dance ( 鵜鳥神楽 , unotori kagura )","Various times , from January 8 to April","Theatrical yamabushi kagura performed as a travelling tour through various villages and towns along the Sanriku Coast , from Kuji in the north to Kamaishi in the south . The dance has been designated under criteria 2 , 3","Unotori Shrine , Fudai , Iwate"
Kuromori Kagura ( 黒森神楽 ),Third Sunday in July,"Theatrical yamabushi kagura centered around gongen lion dances and also including ritual and masked dances . The dances are accompanied by small hourglass-shaped drums , flutes and bronze cymbals and distinct bird-style hats are used in some of them","Kuromori Shrine , Miyako , Iwate"
Hayachine Kagura ( 早池峰神楽 ),"July 31 , August 1 ; also on February 2 , latter part of April , middle of September , third Sunday in December ( Ōtsuganai ) ; January 3 , December 17 ( Take )","A variety of masked dance including ritual , theatrical and wild pieces , comic dialogue and at the end a lion dance characteristic of the yamabushi tradition of northeast Japan . The Hayachine Kagura is represented by two kagura groups , Ōtsuganai and Take , with more or less identical performances . The one notable difference is that the masked used for the mountain kami are referred to as a in Ōtsuganai and as un in the Take tradition , forming the a-un syllables that feature in various Buddhist and Shinto contexts","Hayachine Shrine , Ōhasama , Hanamaki , Iwate"
Ogatsu hōin Kagura ( 雄勝法印神楽 ),"18th day of the second month ( Funatama Shrine ) ; 15th-16th day of the third month ( Isuzu Shrine ) ; 19th day of the third month ( Shirogane Shrine ) ; 8th day of the fourth month , once every three or four years ( Ishi Shrine ) ; 29th day of the fourth month , once every three or four years ( Shiogama Shrine )",Theatrical yamabushi kagura including the Amano-Iwato story which is characteristic of kagura of western Japan . It is accompanied by two large ōdaiko drums and is first mentioned in a document from 1739,"Ogatsu , Ishinomaki , Miyagi"
Nekko Bangaku ( 根子番楽 ),"August 14 , second Sunday in September","A form of yamabushi kagura performed as part of the Bon festival in August and as part of Yama Shrine 's festival in September . Locally it is referred to as bushi mai ( warrior dance ) , ara mai ( wild dance ) or shishi mai ( lion dance ) and is accompanied by large hourglass-type drum , flute and cymbals","Yama Shrine , Ani , Kitaakita , Akita"
Horōsan no Shimotsuki Kagura ( 保呂羽山の霜月神楽 ),"November 7 , 8",A form of yudate kagura including 33 rituals performed over one night including a kagura dance in ancient manner . It is seen as a prayer for abundant crops and thanks for the harvest,"Ōmori , Yokote , Akita"
"Honkai-bangaku Lion dance ( 本海獅子舞番楽 , honkai shishimai bangaku )","Various times of the year , at the start of the year in January , July-September , November , December","Intense lion dance performed by two people , one carrying a lion head the other under a sheet . Besides the lion dance there are other ceremonial and ritual dances , samurai dances and women dances . The designation has been designated under criteria 2 , 3",Akita Prefecture
Sugisawa Hiyama ( 杉沢比山 ),"August 15 ( main ) , also on August 6 ( preparation ) , 20 ( sending kami off )","A type of yamabushi kagura that belongs to the bangaku kagura tradition of Aomori , Iwate , Akita and Yamagata Prefecture and consists of a series of masked dramas and ritual dances","Kumano Shrine , Yuza , Yamagata"
