Date,Venue,Opponent,Score,Result,Competition
"July 22 , 1977",Kuala Lumpur,Indonesia,1 goal,5-1,1977 Merdeka Cup
"July 26 , 1977",Kuala Lumpur,Burma,1 goal,4-0,1977 Merdeka Cup
"July 12 , 1978",Kuala Lumpur,Japan,1 goal,4-0,1978 Merdeka Cup
"December 10 , 1978",Bangkok,Bahrain,2 goals,5-1,1978 Asian Games
"September 8 , 1979",Seoul,Sudan,1 goal,8-0,1979 Korea Cup
"September 16 , 1979",Incheon,Bangladesh,3 goals,9-0,1979 Korea Cup
"March 22 , 1980",Kuala Lumpur,Japan,2 goals,3-1,1980 Summer Olympics qualification
"March 31 , 1980",Kuala Lumpur,Brunei,1 goal,3-0,1980 Summer Olympics qualification
"April 3 , 1980",Kuala Lumpur,Indonesia,1 goal,1-0,1980 Summer Olympics qualification
"October 3 , 1986",Seoul,Indonesia,1 goal,4-0,1986 Asian Games
"October 5 , 1986",Seoul,Saudi Arabia,1 goal,2-0,1986 Asian Games
