Player,Pos,Nationality,Previous team,Years of NBA experience,Career with the franchise
Del Beshore,G,United States,Chicago Bulls,2,-
Winford Boynes,G/F,United States,New Jersey Nets,2,1980-1981
Alonzo Bradley,F,United States,Houston Rockets,3,-
Mike Bratz,G,United States,Phoenix Suns,3,-
Marty Byrnes,F,United States,Los Angeles Lakers,2,1980-1981
Austin Carr,G,United States,Cleveland Cavaliers,9,1980
Jim Cleamons,G,United States,Washington Bullets,9,-
Terry Duerod,G,United States,Detroit Pistons,1,1980
Jack Givens,G/F,United States,Atlanta Hawks,2,-
Joe Hassett,G,United States,Indiana Pacers,3,1980
Geoff Huston,G,United States,New York Knicks,1,1980-1981
Abdul Jeelani,F/C,United States,Portland Trail Blazers,1,1980-1981
Jeff Judkins,G/F,United States,Boston Celtics,2,-
Arvid Kramer,C,United States,Denver Nuggets,1,-
Tom LaGarde,F/C,United States,Seattle SuperSonics,3,1980 - 1982
Billy McKinney,G,United States,Kansas City Kings,2,-
Wiley Peck,G,United States,San Antonio Spurs,1,-
Bingo Smith,G/F,United States,San Diego Clippers,11,-
Jim Spanarkel,G/F,United States,Philadelphia 76ers,1,1980 - 1984
Raymond Townsend,G,United States,Golden State Warriors,2,-
