Year,Date,Venue,Host city,Host,Best Song Winner
1994,24 November,Brandenburg Gate,"Berlin , Germany",Tom Jones,7 Seconds by Youssou N'Dour and Neneh Cherry
1995,23 November,Zénith de Paris,"Paris , France",Jean Paul Gaultier,Zombie by The Cranberries
1996,14 November,Alexandra Palace,"London , United Kingdom",Robbie Williams,Wonderwall by Oasis
1997,6 November,Rotterdam Ahoy,"Rotterdam , Netherlands",Ronan Keating,Mmmbop by Hanson
1998,12 November,Mediolanum Forum,"Milan , Italy",Jenny McCarthy,Torn by Natalie Imbruglia
1999,11 November,Point Theatre,"Dublin , Ireland",Ronan Keating,... Baby One More Time by Britney Spears
2000,16 November,Ericsson Globe,"Stockholm , Sweden",Wyclef Jean,Rock DJ by Robbie Williams
2001,8 November,Festhalle Frankfurt,"Frankfurt , Germany",Sacha Baron Cohen as Ali G,Clint Eastwood by Gorillaz
2002,14 November,Palau Sant Jordi,"Barcelona , Spain",Puff Diddy,Get the Party Started by Pink
2003,6 November,Ocean Terminal,"Edinburgh , United Kingdom",Christina Aguilera,Crazy in Love by Beyoncé featuring Jay Z
2004,18 November,Tor di Valle,"Rome , Italy",Xzibit,Hey Ya ! by Outkast
2005,3 November,Pavilhão Atlântico,"Lisbon , Portugal",Sacha Baron Cohen as Borat Sagdiyev,Speed of Sound by Coldplay
2006,2 November,Bella Center,"Copenhagen , Denmark",Justin Timberlake,Crazy by Gnarls Barkley
2007,1 November,Olympiahalle,"Munich , Germany",Snoop Dogg,Girlfriend by Avril Lavigne
2008,6 November,Echo Arena Liverpool,"Liverpool , United Kingdom",Katy Perry,So What by Pink
2009,5 November,O2 World,"Berlin , Germany",Katy Perry,Halo by Beyoncé
2010,7 November,Caja Mágica,"Madrid , Spain",Eva Longoria,Bad Romance by Lady Gaga
2011,6 November,Odyssey Arena,"Belfast , United Kingdom",Selena Gomez and Paul Clark,Born This Way by Lady Gaga
2012,11 November,Festhalle Frankfurt,"Frankfurt , Germany",Heidi Klum and Ludacris,Call Me Maybe by Carly Rae Jepsen
2013,10 November,Ziggo Dome,"Amsterdam , Netherlands",Redfoo,Locked Out of Heaven by Bruno Mars
