Commissioner,State,National party,Commission,Term start,Term end
Jean Rey,Belgium,Liberal Reformist Party,Hallstein Commission I,1958,1962
Jean Rey,Belgium,Liberal Reformist Party,Hallstein Commission II,1962,1967
Edoardo Martino,Italy,Christian Democracy,Rey Commission,1967,1970
Jean-François Deniau,France,Union for French Democracy,Malfatti Commission,1970,1972
Jean-François Deniau,France,Union for French Democracy,Mansholt Commission,1972,1973
Christopher Soames,United Kingdom,Conservative Party,Ortoli Commission,1973,1977
Wilhelm Haferkamp,West Germany,Social Democratic Party,Jenkins Commission,1977,1981
Wilhelm Haferkamp,West Germany,Social Democratic Party,Thorn Commission,1981,1985
Willy De Clercq,Belgium,Flemish Liberals and Democrats,Delors Commission I,1985,1989
Frans Andriessen,Netherlands,Christian Democratic Appeal,Delors Commission II,1989,1993
Hans van den Broek,Netherlands,Christian Democratic Appeal,Delors Commission III,1993,1995
Leon Brittan,United Kingdom,Conservative Party,Santer Commission,1995,1999
Chris Patten,United Kingdom,Conservative Party,Prodi Commission,1999,2004
Benita Ferrero-Waldner,Austria,Austrian People 's Party,Barroso Commission I,2004,2009
