Celebrity,Profession,Partner,Season,Number of wins,Number of shows
Laurent Maistret,Koh-Lanta winner & television host,Marie Denigot ( Denitsa Ikonomova in Orléans & Clermont-Ferrand ),season 7,15,28
Alizée,Singer,Grégoire Lyonnet,season 4,6,28
Priscilla Betti,Singer & actress,Christophe Licata,season 6,2,10
Olivier Dion,"Model , singer , & television host",Candice Pascal,season 6,2,11
Tonya Kinzinger,Actress & television host,Maxime Dereymez,season 5,2,11
Loïc Nottet,The Voice Belgique finalist,Denitsa Ikonomova,season 6,1,1
Valérie Damidot,D & CO host,Christian Millette,season 7,0,3
Karine Ferri,Television host,Yann-Alrick Mortreuil,season 7,0,12
Florent Mothe,"Singer , actor , & musician",Candice Pascal,season 7,0,19
Sylvie Tellier,Miss France 2002 & Miss France Director,Christophe Licata,season 7,0,16
