Institution,Nickname,Founded,Color,Location
Pamantasan ng Lungsod ng Marikina,PLMar Golden Wolves,2003,Gold and White,Marikina
Pamantasan ng Lungsod ng Maynila,PLM Panthers,1965,"Blue , Red , Gold , Green","Intramuros , Manila"
Pamantasan ng Lungsod ng Valenzuela,PLV,2002,Blue and White,Valenzuela City
Pamantasan ng Lungsod ng Muntinlupa,PLMun Marshalls,1991,Green and White,Muntinlupa City
University of Makati,UMak Hardy Herons,1972,Green and Gold,Makati City
Quezon City Polytechnic University,QCPU Titans,1994,"Blue , White and Green",Quezon City
Pamantasan ng Lungsod ng Pasay,PLP Green Eagles,,Green and White,Pasay City
Taguig City University,TCU,2009,Blue and Gold,Taguig City
Pamantasan ng Lungsod ng Pasig,PLP Green Stallions,2000,Green and Yellow,Pasig City
Universidad de Manila,UdM Merlions,1995,Green,Manila
