Franchise,Years,Home-field,Titles
Baltimore Orioles,1882-1891,"Newington Park / Oriole Park I , II , III",0
Cincinnati Red Stockings,1882-1889,Bank Street Grounds / League Park I,1
Louisville Colonels,1882-1891,Eclipse Park I,1
Philadelphia Athletics,1882-1890,Oakdale Park / Jefferson Street Grounds,1
Pittsburgh Alleghenys/Pirates,1882-1886,"Exposition Park I , II / Recreation Park",0
St. Louis Brown Stockings/Browns,1882-1891,Sportsman 's Park I,4
Columbus Buckeyes,1883-1884,Recreation Park I,0
New York Metropolitans,1883-1887,Polo Grounds I / Metropolitan Park / St. George Cricket Grounds,1
Brooklyn Atlantics/Grays/Bridegrooms,1884-1889,Washington Park / Ridgewood Park II,1
Indianapolis Hoosiers,1884,Seventh Street Park I / Bruce Grounds,0
Richmond Virginia ( n ) s,1884,Allen Pasture,0
Toledo Blue Stockings,1884,League Park,0
Washington Nationals,1884,Athletic Park,0
Cleveland Spiders,1887-1889,Kennard Street Park,0
Kansas City Cowboys,1888-1889,Association Park / Exposition Park,0
Columbus Solons,1889-1891,Recreation Park II,0
Brooklyn Gladiators,1890,Ridgewood Park II / Polo Grounds III,0
Rochester Broncos/Hop Bitters,1890,Culver Field I / Polo Grounds III,0
Syracuse Stars,1890,Star Park II,0
Toledo Maumees,1890,Speranza Park,0
