Name,Club,Year beginning tenure,Year as head coach of Club,Previous clubs
Anthony Seibold,Brisbane Broncos,Beginning 2019,1st Year,South Sydney ( 2018 )
Ricky Stuart,Canberra Raiders,Beginning 2014,6th Year,Sydney Roosters ( 2002-06 ) Cronulla ( 2007-10 ) Parramatta ( 2013 )
Dean Pay,Canterbury-Bankstown Bulldogs,Beginning 2018,2nd Year,-
John Morris,Cronulla-Sutherland Sharks,Beginning 2019,1st Year,-
Justin Holbrook,Gold Coast Titans,Beginning 2020,1st Year,St Helens R.F.C . ( 2017-19 )
Des Hasler,Manly Warringah Sea Eagles,Beginning 2019,1st Year,Manly Sea Eagles ( 2004-11 ) Canterbury-Bankstown Bulldogs ( 2012-17 )
Craig Bellamy,Melbourne Storm,Beginning 2003,17th Year,-
Adam O'Brien,Newcastle Knights,Beginning 2020,1st Year,-
Stephen Kearney,New Zealand Warriors,Beginning 2017,3rd Year,Parramatta Eels ( 2011-12 )
Paul Green,North Queensland Cowboys,Beginning 2014,6th Year,-
Brad Arthur,Parramatta Eels,Beginning 2014,6th Year,-
Ivan Cleary,Penrith Panthers,Beginning 2019,1st Year,NZ Warriors ( 2006-11 ) Penrith Panthers ( 2012-15 ) Wests Tigers ( 2017-18 )
Wayne Bennett,South Sydney Rabbitohs,Beginning 2019,1st Year,Canberra ( 1987 ) Brisbane ( 1988-08 ) St. George-Illawarra ( 2009-11 ) Newcastle ( 2012-14 ) Brisbane ( 2015-18 )
Paul McGregor,St George-Illawarra Dragons,Beginning May 2014,6th Year,-
Trent Robinson,Sydney Roosters,Beginning 2013,7th Year,Catalans Dragons ( 2011-12 )
Michael Maguire,Wests Tigers,Beginning 2019,1st Year,Wigan Warriors ( 2010-11 ) South Sydney ( 2012-17 )
