Rank,Athlete,Nationality,Time
1,Mike Tagg,England,36:39.8
2,Gaston Roelants,Belgium,36:41.8
3,Trevor Wright,England,36:44.6
4,Dick Taylor,England,36:50.8
5,Noel Tijou,France,37:03.2
6,Ricky Wilde,England,37:07
7,Mike Turner,England,37:09.8
8,Abdelkader Zaddem,Tunisia,37:11
9,Javier Álvarez,Spain,37:14
10,René Jourdan,France,37:15
11,Lucien Rault,France,37:19
12,Lachie Stewart,Scotland,37:28
13,Emiel Puttemans,Belgium,37:29
14,Mike Baxter,England,37:30
15,Michel Bernard,France,37:36
16,Mhedheb Hannachi,Tunisia,37:37
17,Adelaziz Bouguerra,Tunisia,37:38
18,Bernie Plain,Wales,37:40
19,Joseph Prinsen,Belgium,37:44
20,Antoine Borowski,France,37:50
