Player,Original club,Traded to,Traded for
Matthew Clarke,Brisbane Lions,Adelaide Crows,draft picks # 6 and # 21
Scott Welsh,Kangaroos,Adelaide Crows,draft pick # 77
Stefan Carey,Sydney Swans,Brisbane Lions,draft pick # 21
Michael Martin,Western Bulldogs,Brisbane Lions,Trent Bartlett and draft pick # 32
Michael Mansfield,Geelong,Carlton,draft pick # 31
Steven McKee,Richmond,Collingwood,Clinton King and draft pick # 3
Andrew Ukovic,Essendon,Collingwood,Jonathon Robran and draft pick # 40
Jonathon Robran,Hawthorn,Essendon,draft pick # 33 and # 48
Trent Bartlett,Western Bulldogs,Brisbane Lions,Michael Martin
Nathan Eagleton,Port Adelaide,Western Bulldogs,Brett Montgomery and draft pick # 28
Troy Cook,Sydney Swans,Fremantle,draft pick # 34
Brendon Fewster,West Coast Eagles,Fremantle,draft pick # 16
Troy Longmuir,Melbourne,Fremantle,draft pick # 19
Cameron Mooney,Kangaroos,Geelong,Leigh Colbert and draft pick # 53
Lance Picioane,Adelaide Crows,Hawthorn,draft pick # 79
Stephen Powell,Western Bulldogs,Melbourne,draft pick # 35
David Calthorpe,Brisbane Lions,Kangaroos,draft pick # 32
Leigh Colbert,Geelong,Kangaroos,"Cameron Mooney and draft picks # 15 , # 17 & # 47"
Matthew Bishop,Melbourne,Port Adelaide,draft pick # 42
Brett Montgomery,Western Bulldogs,Port Adelaide,Nathan Eagleton
