Rank,Country,Team,Time
1,Kenya,Rita Sitienei Jeptoo Edith Masai Eunice Jepkorir,3:15:55
2,Ethiopia,Dire Tune Teyba Erkesso Ashu Kasim,3:18:50
3,Japan,Kayoko Fukushi Yurika Nakamura Ryoko Kizaki,3:19:00
4,Romania,Constantina Diţă-Tomescu Luminița Talpoș Lidia Simon,3:19:56
5,Russia,Gulnara Vygovskaya Natalya Kurbatova Irina Timofeyeva,3:20:13
6,Hungary,Anikó Kálovics Simona Staicu Beáta Rakonczai,3:23:15
7,Netherlands,Lornah Kiplagat Selma Borst Merel de Knegt,3:26:30
8,Italy,Gloria Marconi Silvia Sommaggio Ivana Iozzia,3:29:05
9,Australia,Anna Thompson Lisa Weightman Lauren Shelley,3:30:36
10,United States,Annie Bersagel Ann Alyanak Erin Nehus,3:35:04
11,Brazil,Maria Rodrigues Maria Silva Rosa Barbosa,3:41:09
