Actress,President,Program,Year
Melissa Altro,President Mary Alice Crosswire ( ( Muffy ) ),Arthur,2000
Teresa Barnwell,President Hillary Clinton,Sliders ( The Weaker Sex ),1995
Kate Burton,Acting President Sally M. Langston,Scandal,2013
Lynda Carter,President Olivia Marsdin,Supergirl,2016-
Patty Duke,President Julia Mansfield,Hail to the Chief,1985
Geena Davis,President Mackenzie Allen,Commander in Chief,2005-2006
Tovah Feldshuh,President Pauline Mackenzie,Salvation,2017
Peggy Frankston,President Hillary Clinton,L'État de Grace,2006
Cherry Jones,President Allison Taylor,24,2008-2010
Mimi Kuzyk,President Sally Sheridan,XIII,2008
Charmin Lee,Madame President,Sleepy Hollow,2017
Téa Leoni,President Elizabeth Adams McCord,Madam Secretary,2014-present
Elizabeth Marvel,President Elizabeth Keane,Homeland,2017-present
Toks Olagundoye,President Kemi Talbot,Veep,2019
Andrea Savage,President Laura P. Montez,Veep,2016-2019
Julia Louis-Dreyfus,Former President Selina Meyer,Veep,2014-2019
Sharon Stone,Acting President Natalie Maccabee,Agent X,2015
Patricia Wettig,President Caroline Reynolds,Prison Break,2006
Alfre Woodard,President Constance Payton,State of Affairs,2014-2015
Robin Wright,President Claire Underwood,House of Cards ( Netflix ),2017-2018
