Name,Platform,Supported databases,Latest stable release,Licenses,Latest release date
blosxom,Perl,Flat-file database,2.1.2,MIT,2008-10-02
Bricolage,Perl on mod perl,"MySQL , PostgreSQL , Oracle",2.0.1,BSD,2011-02-09
EPrints,Perl on mod perl,"MySQL , PostgreSQL",3.4.1,GPL,2019-04-05 [ ± ]
Foswiki,Perl,Flat-file database,2.1.6,GPL,2018-03-02 [ ± ]
Ikiwiki,Perl,"Git ( software ) , Apache Subversion , Mercurial",3.20190228,GPL,2019-02-28 [ ± ]
Movable Type Open Source,"Perl , mod perl , FastCGI , w/ PHP",MySQL,5.2.13,GPL,2015-04-14
Sellerdeck eCommerce,Perl,"Flat-file database , Flat-file database",16.0.3,GPL,2017-02-20
SPINE,"Perl , mod perl","MySQL , PostgreSQL",1.2.2,GPL,2006-12-27
TWiki,Perl,Plain files ( under version control ),6.1.0,GPL,2018-07-16 [ ± ]
WebGUI,Perl on mod perl,MySQL,7.10.30,GPL,2016-01-06
