Artist,Single,Released,Sales ( in millions )
Twenty One Pilots,Stressed Out,2015,9.9
P ! nk featuring Nate Ruess,Just Give Me a Reason,2013,9.9
Katy Perry,Roar,2013,9.9
Bruno Mars,That 's What I Like,2017,9.7
Marshmello and Anne-Marie,Friends,2018,9.6
fun . featuring Janelle Monáe,We Are Young,2011,9.6
Pitbull featuring Kesha,Timber,2013,9.6
Eminem featuring Rihanna,Love the Way You Lie,2010,9.3
Daft Punk featuring Pharrell Williams and Nile Rodgers,Get Lucky,2013,9.3
Post Malone featuring Ty Dolla Sign,Psycho,2018,9.2
Taylor Swift,Blank Space,2014,9.2
Maroon 5,Payphone,2012,9.1
Iggy Azalea featuring Charli XCX,Fancy,2014,9.1
Lil Wayne featuring Static Major,Lollipop,2008,9.1
Ariana Grande featuring Iggy Azalea,Problem,2014,9
Madonna,Hung Up,2005,9
Thelma Aoyama,Soba ni Iru ne,2008,8.7
Imagine Dragons,Radioactive,2012,8.6
Magic !,Rude,2014,8.6
Black Eyed Peas,Boom Boom Pow,2009,8.5
