Team,City,Stadium,Manager
Brampton City United B,"Brampton , Ontario",Victoria Park Stadium,Mike DiMatteo
Brantford Galaxy B,"Brantford , Ontario",Steve Brown Sports Complex,Peter Pompoino
Kitchener Waterloo United FC,"Waterloo , Ontario",Budd Park,Lazo Džepina
London City B,"London , Ontario",Cove Road Stadium,Aldo Caranci
Mississauga Eagles FC B,"Mississauga , Ontario",Hershey Centre,Josef Komlodi Alex Szczotka
Niagara United,"Niagara , Ontario",Kalar Sports Park,James McGillivray
North York Astros B,"Toronto , Ontario",Esther Shiner Stadium,Kerwin Skeete
Kingston Prospect FC,"Kingston , Ontario",St. Joan of Arc Turf Field,Jimmy Hamrouni
SC Toronto B,"Toronto , Ontario",Lamport Stadium,Patrice Gheisar
Serbian White Eagles B,"Toronto , Ontario",Centennial Park Stadium,Nikola Budalic
St. Catharines Wolves B,"St. Catharines , Ontario",Club Roma Stadium,Carlo Arghittu
TFC Academy II,"Liberty Village , Toronto",Lamport Stadium,Jim Brennan
Toronto Croatia B,"Toronto , Ontario",Centennial Park Stadium,
York Region Shooters B,"Vaughan , Ontario",St. Joan of Arc Turf Field,
