Dance,Celebrity,Highest score,Celebrity,Lowest score
American Smooth,Natalie Gumede,40,Dave Myers,17
Argentine Tango,Natalie Gumede,38,Sophie Ellis-Bextor Susanna Reid,32
Cha Cha Cha,Natalie Gumede,39,Dave Myers,16
Charleston,Natalie Gumede,39,Tony Jacklin,13
Foxtrot,Susanna Reid,38,Patrick Robinson,27
Jive,Ashley Taylor Dawson,31,Dave Myers,19
Paso Doble,Susanna Reid,39,Dave Myers,16
Quickstep,Abbey Clancy,38,Rachel Riley,26
Rumba,Natalie Gumede Patrick Robinson,36,Fiona Fullerton,22
Salsa,Abbey Clancy Natalie Gumede,40,Dave Myers,17
Samba,Abbey Clancy,39,Susanna Reid Mark Benton,29
Showdance,Natalie Gumede,40,Sophie Ellis-Bextor,35
Swing-a-thon,Natalie Gumede,6,Susanna Reid,1
Tango,Natalie Gumede,37,Julien Macdonald,18
Viennese Waltz,Sophie Ellis-Bextor,39,Deborah Meaden,27
Waltz,Abbey Clancy,40,Tony Jacklin,16
