Rank,Country,Team,Points
1,England,Mel Batty Ron Hill John Cooke Mike Freary Gerry North Dominic Keily,55
2,France,Jean Fayolle Michel Bernard Michel Jazy Jean Vaillant Bernard Maroquin Yves Martinage,55
3,New Zealand,Jeff Julian Peter Welsh Pat Sidon Norris Wyatt Bryan Rose Geoffrey Pyne,110
4,Tunisia,Mohamed Gammoudi Mhedheb Hannachi Ahmed Zammel Hedi Hamrouni Ali Khamassi Labidi Ayachi,186
5,Spain,Francisco Aritmendi Fernando Aguilar Lorenzo Gutierrez Mariano Haro Iluminado Corcuera José Maiz,187
6,Scotland,Jim Alder Fergus Murray Andy Brown Lachie Stewart Ian McCafferty Alec Brown,304
7,Belgium,Henri Clerckx Cyrille van Geert Jean Dewachter Pierre de Pauw Joseph van Lent Marcel Vandewattyne,310
8,Morocco,Ben Assou El Ghazi Ahmed Oukbouch Allal Ben Saoudi Abdeslem Bouchta Mohamed Ben Mohamed Mohamed Benmaguini,330
9,Federal Republic of Germany,Hans Hüneke Hans Gerlach Arno Krausse Lutz Krausse Günter Bretag Klaus Vieth,353
10,Ireland,Derek Graham Jim McNamara Pat McMahon George Blackburn Brendan Deary Tony Murphy,397
11,Italy,Luigi Conti Alfredo Rizzo Franco Sommaggio Giorgio Zanfini Carlo Sacchi Silvio De Florentiis,414
12,Netherlands,Piet Beelen Egbert Nijstad Josephus Scheyen Jacques van Eekelen Piet de Haas Joep Delnoye,478
13,Switzerland,Werner Dössegger Edgar Friedli Walter Dietiker Oskar Leupi Hugo Eisenring Hansruedi Knill,543
14,Wales,Robert Williams Bob Roath John Collins Hedydd Davies John Godding Ken Flowers,546
15,Algeria,Hamida Addéche Hamoud Ameur Belkacem Chikhane Belkacem Ben Sahraoui Abderrahmane Delhoum A. Tounsi,568
