Year,Title,Role,Notes
2000,The $ treet,Artist,Episode : The Ultimatum
2001,Law & Order : Special Victims Unit,Steven,Episode : Folly
2002,Lost in Oz,Calleb Jansen,Unsold WB pilot
2004,Gilmore Girls,Sean,"Episode : Girls in Bikinis , Boys Doin ' The Twist"
2004,Nip/Tuck,Mr. Rourke,Episode : Sean McNamara
2005,Charmed,Tim Cross,Episode : Death Becomes Them
2005-2009,All My Children,Josh Madden,"Role held : September 26 , 2005 - January 19 , 2009"
2009-2010,Melrose Place,Auggie Kirkpatrick,Main cast ; 10 episodes
2010,Brothers & Sisters,Young William Walker,Episode : Time After Time : Part 1
2010,Hawaii Five-0,Jordan Townsend,Episode : Heihei
2011-2016,Rizzoli & Isles,Thomas Tommy Rizzoli,Recurring
2012-2013,The Client List,Evan Parks,Main cast
2014,Unforgettable,Agent Charles Sewell,Episode : A Moveable Feast
2014,Drop Dead Diva,Charlie French,"Episode : Truth & Consequences ( Season 6 , # ep1 )"
2015,Chasing Life,Dr Barratt,"Episode : Wild Thing ( Season 2 , # ep9 )"
2016-2018,Lucifer,Bradley Wheeler,"Episode : Liar , Liar , Slutty Dress on Fire ( Season 2 , # ep2 ) Episode : Quintessential Deckerstar ( Season 3 , # ep23 )"
2018,Chicago Fire,Gordon Mayfield,"Episode : Always A Catch ( Season 7 , # ep9 )"
