Institution,Nickname,Location,Enrollment
Aquinas College,Saints,"Grand Rapids , Michigan","2,100"
Bethel University,Pilots,"Mishawaka , Indiana","1,964"
Cleary University,Cougars,"Howell , Michigan",642
Concordia University Ann Arbor,Cardinals,"Ann Arbor , Michigan",459
Indiana Institute of Technology,Warriors,"Fort Wayne , Indiana","3,500"
Lawrence Technological University,Blue Devils,"Southfield , Michigan","4,000"
Lourdes University,Grey Wolves,"Sylvania , Ohio","2,500"
Madonna University,Crusaders,"Livonia , Michigan","3,139"
Rochester College,Warriors,"Rochester Hills , Michigan","1,153"
Siena Heights University,Saints,"Adrian , Michigan","2,307"
Taylor University,Trojans,"Upland , Indiana","2,333"
