Medal,Name,Sport,Event,Date
Gold,"Andreas Linger , Wolfgang Linger",Luge,Doubles,17 February
Gold,Andrea Fischbacher,Alpine skiing,Women 's super-G,20 February
Gold,"Wolfgang Loitzl , Andreas Kofler , Thomas Morgenstern , Gregor Schlierenzauer",Ski jumping,Large hill team,22 February
Gold,"Bernhard Gruber , David Kreiner , Felix Gottwald , Mario Stecher",Nordic combined,Team large hill/4 x 5 km,23 February
Silver,Christoph Sumann,Biathlon,Men 's pursuit,16 February
Silver,Nina Reithmeyer,Luge,Women 's singles,16 February
Silver,Andreas Matt,Freestyle skiing,Men 's ski cross,21 February
Silver,"Simon Eder , Daniel Mesotitsch , Dominik Landertinger , Christoph Sumann",Biathlon,Men 's relay,26 February
Silver,Marlies Schild,Alpine skiing,Women 's slalom,26 February
Silver,Benjamin Karl,Snowboarding,Men 's parallel giant slalom,27 February
Bronze,Gregor Schlierenzauer,Ski jumping,Normal hill,13 February
Bronze,Elisabeth Görgl,Alpine skiing,Women 's downhill,17 February
Bronze,Gregor Schlierenzauer,Ski jumping,Large hill,20 February
Bronze,Elisabeth Görgl,Alpine skiing,Women 's giant slalom,24 February
Bronze,Bernhard Gruber,Nordic combined,Individual large hill/10 km,25 February
Bronze,Marion Kreiner,Snowboarding,Women 's parallel giant slalom,26 February
