No,Name,Net worth ( USD ),Age,Nationality,Source ( s ) of wealth
1,Bill Gates,$ 46.5 billion,49,United States,Microsoft
2,Warren Buffett,$ 44.0 billion,74,United States,Berkshire Hathaway
3,Lakshmi Mittal,$ 25.0 billion,54,India,Mittal Steel Company
4,Carlos Slim,$ 23.8 billion,65,Mexico,"América Móvil , Grupo Carso"
5,Al-Waleed bin Talal,$ 23.7 billion,49,Saudi Arabia,Kingdom Holding Company
6,Ingvar Kamprad,$ 23.0 billion,79,Sweden,IKEA
7,Paul Allen,$ 21.0 billion,52,United States,Microsoft
8,Karl Albrecht,$ 18.5 billion,85,Germany,Aldi Süd
9,Larry Ellison,$ 18.4 billion,60,United States,Oracle Corporation
10,S. Robson Walton,$ 18.3 billion,61,United States,Walmart
