Year,Champion,Coach,Result,Runner-up,Coach
1971,Baltimore Bullets,Gene Shue,4-3,New York Knicks,Red Holzman
1972,New York Knicks,Red Holzman,4-1,Boston Celtics,Tom Heinsohn
1973,New York Knicks,Red Holzman,4-3,Boston Celtics,Tom Heinsohn
1974,Boston Celtics,Tom Heinsohn,4-1,New York Knicks,Red Holzman
1975,Washington Bullets,K. C. Jones,4-2,Boston Celtics,Tom Heinsohn
1976,Boston Celtics,Tom Heinsohn,4-2,Cleveland Cavaliers,Bill Fitch
1977,Philadelphia 76ers,Gene Shue,4-2,Houston Rockets,Tom Nissalke
1978,Washington Bullets,Dick Motta,4-2,Philadelphia 76ers,Billy Cunningham
1979,Washington Bullets,Dick Motta,4-3,San Antonio Spurs,Doug Moe
1980,Philadelphia 76ers,Billy Cunningham,4-1,Boston Celtics,Bill Fitch
1981,Boston Celtics,Bill Fitch,4-3,Philadelphia 76ers,Billy Cunningham
1982,Philadelphia 76ers,Billy Cunningham,4-3,Boston Celtics,Bill Fitch
1983,Philadelphia 76ers,Billy Cunningham,4-1,Milwaukee Bucks,Don Nelson
1984,Boston Celtics,K. C. Jones,4-1,Milwaukee Bucks,Don Nelson
1985,Boston Celtics,K. C. Jones,4-1,Philadelphia 76ers,Billy Cunningham
1986,Boston Celtics,K. C. Jones,4-0,Milwaukee Bucks,Don Nelson
1987,Boston Celtics,K. C. Jones,4-3,Detroit Pistons,Chuck Daly
1988,Detroit Pistons,Chuck Daly,4-2,Boston Celtics,K. C. Jones
1989,Detroit Pistons,Chuck Daly,4-2,Chicago Bulls,Doug Collins
1990,Detroit Pistons,Chuck Daly,4-3,Chicago Bulls,Phil Jackson
