Team,Champions,Runners-up,Third,Fourth
Portugal,"8 ( 2002 , 2003 , 2004 , 2005 , 2006 , 2008 , 2010 , 2011 )",1 ( 2012 ),-,1 ( 2013 )
Russia,"4 ( 2007 , 2009 , 2016 , 2017 )","2 ( 2005 , 2006 )","3 ( 2010 , 2013 , 2018 )","3 ( 2011 , 2014 , 2015 )"
France,"2 ( 2014 , 2015 )","7 ( 2003 , 2007 , 2009 , 2010 , 2013 , 2016 , 2019 )",1 ( 2012 ),"3 ( 2002 , 2005 , 2006 )"
England,"2 ( 2012 , 2013 )",1 ( 2011 ),"2 ( 2014 , 2015 )",1 ( 2018 )
Ireland,1 ( 2018 ),1 ( 2017 ),"2 ( 2004 , 2019 )",1 ( 2008 )
Germany,1 ( 2019 ),1 ( 2018 ),1 ( 2002 ),"2 ( 2003 , 2016 )"
Spain,-,1 ( 2015 ),"3 ( 2011 , 2016 , 2017 )","5 ( 2007 , 2009 , 2010 , 2012 , 2019 )"
Italy,-,1 ( 2004 ),"3 ( 2005 , 2006 , 2009 )",-
Georgia,-,1 ( 2002 ),"2 ( 2003 , 2008 )",-
Scotland,-,1 ( 2014 ),-,1 ( 2004 )
Wales,-,1 ( 2008 ),-,1 ( 2017 )
Moldova,-,-,1 ( 2007 ),-
Total,18,18,18,18
