Date,Tournament,Location,Winner,OWGR points
Feb 19,Pacific Rubiales Colombia Championship,Colombia,Skip Kendall ( 4 ),14
Mar 4,Panama Claro Championship,Panama,Edward Loar ( 1 ),14
Mar 11,Chile Classic,Chile,Paul Haley II ( 1 ),14
Mar 25,Chitimacha Louisiana Open,Louisiana,Casey Wittenberg ( 1 ),14
Apr 8,Soboba Golf Classic,California,Andres Gonzales ( 1 ),14
Apr 15,TPC Stonebrae Championship,California,Alex Aragon ( 1 ),14
Apr 29,South Georgia Classic,Georgia,Luke List ( 1 ),14
May 6,Stadion Classic at UGA,Georgia,Hudson Swafford ( 1 ),14
May 20,BMW Charity Pro-Am,South Carolina,Nick Flanagan ( 4 ),14
Jun 3,Rex Hospital Open,North Carolina,James Hahn ( 1 ),14
Jun 10,Mexico Open,Mexico,Lee Williams ( 1 ),14
Jun 24,Preferred Health Systems Wichita Open,Kansas,Casey Wittenberg ( 2 ),14
Jul 1,United Leasing Championship,Indiana,Peter Tomasulo ( 3 ),14
Jul 15,Utah Championship,Utah,Doug LaBelle II ( 2 ),14
Jul 29,Nationwide Children 's Hospital Invitational,Ohio,Ben Kohles ( 1 ),14
Aug 5,Cox Classic,Nebraska,Ben Kohles ( 2 ),14
Aug 12,Price Cutter Charity Championship,Missouri,Chris Wilson ( 1 ),14
Aug 19,Midwest Classic,Kansas,Shawn Stefani ( 1 ),14
Aug 26,News Sentinel Open,Tennessee,Darron Stiles ( 5 ),14
Sep 2,Mylan Classic,Pennsylvania,Robert Streb ( 1 ),14
