State,Contestant,Age,Height,Hometown
Amazonas,Jéssica Adriana Guillén Blanco,24,177 cm ( 5 ft 9 ⁄ 2 in ),Caracas
Anzoátegui,Flory Gabriela Díez Estrada,20,173 cm ( 5 ft 8 in ),Barcelona
Apure,Carolina Charlott Da Silva Gonçalves,22,174 cm ( 5 ft 8 ⁄ 2 in ),Maracay
Aragua,Andreína Vanessa Castro Martínez,18,173 cm ( 5 ft 8 in ),Maracay
Barinas,Esmeralda Alejandrina Yaniche Vásquez,18,178 cm ( 5 ft 10 in ),Puerto Ordaz
Bolívar,Sandra Margarita Alves Burillo,20,175 cm ( 5 ft 9 in ),Puerto Ordaz
Carabobo,María José González Ginestre,19,174 cm ( 5 ft 8 ⁄ 2 in ),Valencia
Distrito Capital,Patricia Elizabeth de Andrade Rodríguez,20,174 cm ( 5 ft 8 ⁄ 2 in ),Caracas
Guárico,Manuela Vieira Díaz,23,170 cm ( 5 ft 7 in ),Valencia
Lara,Yoli Rosangel Sevilla Campos,18,180 cm ( 5 ft 11 in ),San Felipe
Mérida,María de Luz Da Silva Dos Santos,19,176 cm ( 5 ft 9 ⁄ 2 in ),Maracay
Miranda,Marelisa Gibson Villegas,21,178 cm ( 5 ft 10 in ),Caracas
Monagas,Yuleima Yulibeth Yuly Tovar González,25,172 cm ( 5 ft 7 ⁄ 2 in ),Ciudad Ojeda
Nueva Esparta,Cristina Andrea Carmona Veiga,22,181 cm ( 5 ft 11 ⁄ 2 in ),Caracas
Portuguesa,María Gabriela Pastrán Duque,24,177 cm ( 5 ft 9 ⁄ 2 in ),Táriba
Sucre,Daniela del Carmen Morales Verde,21,175 cm ( 5 ft 9 in ),Cumaná
Táchira,Mariángela Haydée Manuela Bonanni Randazzo,21,177 cm ( 5 ft 9 ⁄ 2 in ),San Cristóbal
Trujillo,Ana Elizabeth Mosquera Gómez,18,176 cm ( 5 ft 9 ⁄ 2 in ),Valera
Vargas,Patricia Reyina Zavala Nicoloso,24,173 cm ( 5 ft 8 in ),Punto Fijo
Zulia,Adriana Cristina Vasini Sánchez,22,178 cm ( 5 ft 10 in ),Maracaibo
